Date,Open,High,Low,Close,Adj Close,Volume
2010-06-02,329.5,332.5,328.625,330.5249938964844,259.0116882324219,359384
2010-06-03,332.48748779296875,338.1000061035156,332.48748779296875,337.125,264.1837158203125,485808
2010-06-04,337.625,341.98748779296875,335.125,341.3187561035156,267.4700622558594,559768
2010-06-07,335.625,336.25,331.63751220703125,334.03125,261.7593078613281,500352
2010-06-08,332.32501220703125,336.2250061035156,331.1812438964844,331.875,260.069580078125,1367896
2010-06-09,331.375,333.0874938964844,327.1312561035156,328.4375,257.3758544921875,767064
2010-06-10,327.625,331.75,327.25,330.8687438964844,259.28106689453125,476216
2010-06-11,333.75,335.0,327.54376220703125,329.20001220703125,257.9733581542969,1408032
2010-06-14,331.2875061035156,345.0,331.28125,343.40625,269.1059875488281,1196032
2010-06-15,343.5,344.625,340.39373779296875,342.0062561035156,268.0088195800781,750744
2010-06-16,346.5,346.78125,342.875,345.83123779296875,271.00616455078125,567704
2010-06-17,346.2437438964844,347.1312561035156,341.625,345.9125061035156,271.0699462890625,462272
2010-06-18,345.625,351.3374938964844,344.375,347.6937561035156,272.4656677246094,1381368
2010-06-21,349.26251220703125,352.0,349.1875,350.1875,274.41986083984375,503304
2010-06-22,348.75,348.75,345.0,346.01251220703125,271.1482849121094,390712
2010-06-23,342.625,351.0,342.625,349.8125,274.1260986328125,467408
2010-06-24,350.625,353.4375,347.9624938964844,352.23748779296875,276.0263366699219,903560
2010-06-25,351.25,351.25,346.5625,347.21875,272.0934753417969,367216
2010-06-28,349.125,351.125,347.16876220703125,350.54376220703125,274.6991271972656,238016
2010-06-29,350.0,350.5,345.9125061035156,348.79998779296875,273.3326110839844,297968
2010-06-30,347.25,350.375,341.625,348.5687561035156,273.1514892578125,766672
2010-07-01,350.125,350.125,343.76251220703125,345.9375,271.0894470214844,987264
2010-07-02,346.0625,346.0625,339.5,341.125,267.3182373046875,1603432
2010-07-05,340.625,343.75,340.625,342.875,268.6895446777344,581344
2010-07-06,343.125,349.98748779296875,343.125,348.3125,272.95062255859375,561048
2010-07-07,348.625,348.75,345.625,347.625,272.411865234375,1253280
2010-07-08,351.125,355.5,350.75,353.21875,276.7952880859375,704904
2010-07-09,354.0,360.25,354.0,358.98748779296875,281.31585693359375,949176
2010-07-12,360.625,363.9437561035156,359.125,361.8687438964844,283.5737609863281,1092656
2010-07-13,358.5625,358.73748779296875,348.125,349.4125061035156,273.8126220703125,5226768
2010-07-14,350.3999938964844,351.25,341.91876220703125,342.7875061035156,268.6210021972656,1914672
2010-07-15,343.5,346.875,341.875,344.8687438964844,270.2519226074219,1255848
2010-07-16,345.0,348.6875,343.79998779296875,347.2875061035156,272.1473693847656,1113384
2010-07-19,343.625,349.0375061035156,342.1625061035156,346.2875061035156,271.3638000488281,801896
2010-07-20,346.875,347.8374938964844,342.5,344.70001220703125,270.1196594238281,768696
2010-07-21,346.25,347.1000061035156,343.75,345.6937561035156,270.8984375,207216
2010-07-22,345.0,345.54998779296875,341.07501220703125,344.7250061035156,270.13934326171875,660120
2010-07-23,348.25,348.25,345.625,347.73126220703125,272.49505615234375,439480
2010-07-26,348.75,351.125,348.75,350.3125,274.5179443359375,483216
2010-07-27,351.0,353.98748779296875,351.0,353.15625,276.746337890625,541288
2010-07-28,353.75,355.0,351.875,354.1937561035156,277.5593566894531,535912
2010-07-29,352.9437561035156,354.9375,351.5249938964844,354.26873779296875,277.6181640625,414896
2010-07-30,352.875,353.75,345.75,348.60626220703125,273.180908203125,471872
2010-08-02,347.625,351.5,343.8812561035156,349.9437561035156,274.22894287109375,367216
2010-08-03,350.0,351.4937438964844,346.53125,348.0687561035156,272.75958251953125,367944
2010-08-04,348.7562561035156,359.375,348.7562561035156,358.4750061035156,280.914306640625,1025576
2010-08-05,360.125,363.3500061035156,358.4750061035156,359.17498779296875,281.462890625,620720
2010-08-06,357.875,361.125,356.53125,358.0062561035156,280.5470275878906,593752
2010-08-09,356.75,360.375,354.3812561035156,359.14373779296875,281.4383544921875,551680
2010-08-10,357.65625,357.65625,352.5,354.08123779296875,277.4711608886719,484680
2010-08-11,354.5,356.5,350.01873779296875,351.3500061035156,275.3309631347656,393064
2010-08-12,348.75,348.75,344.875,347.32501220703125,272.1767578125,949896
2010-08-13,347.125,349.75,344.625,347.5249938964844,272.3335266113281,1281984
2010-08-16,345.0,346.98748779296875,343.75,344.9375,270.3058166503906,756120
2010-08-17,345.0,346.875,341.25,344.0375061035156,269.6005554199219,538432
2010-08-18,345.63751220703125,351.9375,344.76873779296875,350.64373779296875,274.7774353027344,549256
2010-08-19,352.5,352.5,348.125,350.51251220703125,274.67462158203125,416664
2010-08-20,348.125,349.42498779296875,344.8187561035156,346.1499938964844,271.2560119628906,477320
2010-08-23,345.125,350.8500061035156,345.0,349.04376220703125,273.523681640625,313784
2010-08-24,348.125,349.04376220703125,344.5,345.6875,270.8935546875,380240
2010-08-25,345.0,348.5,344.375,346.48126220703125,271.5155944824219,297888
2010-08-26,347.25,347.25,343.5,345.4375,270.6976318359375,380440
2010-08-27,344.625,344.625,336.25,338.60626220703125,265.3444519042969,637616
2010-08-30,340.25,342.26251220703125,333.25,337.0,264.085693359375,532920
2010-08-31,335.0,339.75,334.375,338.38751220703125,265.1730651855469,482928
2010-09-01,338.375,347.89373779296875,338.375,346.96875,271.8975524902344,704528
2010-09-02,347.13751220703125,348.75,343.1499938964844,343.83123779296875,269.43890380859375,335456
2010-09-03,345.625,350.25,345.375,346.45623779296875,271.4959716796875,360472
2010-09-06,346.25,355.0,346.25,353.9375,277.3585510253906,603728
2010-09-07,352.86248779296875,358.375,351.125,356.9437561035156,279.71441650390625,856536
2010-09-08,356.875,359.78125,353.375,359.0062561035156,281.33062744140625,703400
2010-09-09,359.0,361.98748779296875,357.40625,361.4125061035156,283.2161865234375,659424
2010-09-13,363.5,367.875,354.375,366.9375,287.5458679199219,1091112
2010-09-14,367.5,375.0,367.125,371.9937438964844,291.5081481933594,1087688
2010-09-15,369.0687561035156,382.375,369.0687561035156,381.26873779296875,298.7763671875,1848320
2010-09-16,376.9437561035156,378.5,370.16876220703125,370.9750061035156,290.7098083496094,980584
2010-09-17,374.38751220703125,376.25,370.75,371.76251220703125,291.3268737792969,660832
2010-09-20,373.125,376.5,372.0,375.73748779296875,294.44183349609375,644424
2010-09-21,376.8999938964844,383.125,374.375,382.3125,299.5942687988281,1152816
2010-09-22,382.75,383.25,374.2749938964844,375.9125061035156,294.57904052734375,666592
2010-09-23,376.125,378.125,371.86248779296875,376.78125,295.2597351074219,633480
2010-09-24,375.0,381.0,367.78125,380.08123779296875,297.8457946777344,687528
2010-09-27,381.25,382.5,377.0562438964844,378.1812438964844,296.35687255859375,436368
2010-09-28,376.75,378.625,375.375,377.08123779296875,295.4948425292969,270616
2010-09-29,378.875,384.375,375.41876220703125,378.6499938964844,296.7242431640625,465264
2010-09-30,378.2875061035156,382.5,376.26873779296875,380.125,297.88006591796875,583424
2010-10-01,380.5,388.7250061035156,378.29376220703125,387.92498779296875,303.9924011230469,819624
2010-10-04,389.375,395.25,382.875,384.5874938964844,301.37701416015625,730704
2010-10-05,387.9750061035156,388.625,383.75,385.5062561035156,302.09698486328125,1839632
2010-10-06,390.4624938964844,390.4624938964844,384.875,387.7124938964844,303.82586669921875,336576
2010-10-07,386.125,387.0874938964844,381.25,381.90625,299.2760009765625,1116424
2010-10-08,382.0249938964844,385.79376220703125,379.66876220703125,384.67498779296875,301.4456481933594,422624
2010-10-11,385.5,387.5,382.26251220703125,383.91876220703125,300.8529968261719,256264
2010-10-12,382.26251220703125,385.5,378.92498779296875,384.36248779296875,301.2007141113281,558840
2010-10-13,386.25,395.11248779296875,384.4125061035156,393.8999938964844,308.6747131347656,1233744
2010-10-14,393.75,403.5,393.75,398.03125,311.9119873046875,1995304
2010-10-15,400.63751220703125,406.125,383.17498779296875,384.51873779296875,301.32318115234375,4294840
2010-10-18,382.5,389.375,380.375,388.375,304.34503173828125,1458648
2010-10-19,388.375,388.75,375.875,376.5375061035156,295.0688171386719,2537440
2010-10-20,375.875,380.6000061035156,374.375,377.40625,295.7495422363281,734880
2010-10-21,376.0,379.75,372.5,379.14373779296875,300.0928955078125,937328
2010-10-22,379.9624938964844,385.5,376.875,381.65625,302.0815734863281,888544
2010-10-25,381.90625,384.25,376.1937561035156,377.4375,298.742431640625,575304
2010-10-26,377.5,379.875,375.5,377.48126220703125,298.7769775390625,670136
2010-10-27,376.125,376.125,370.625,373.03125,295.2549133300781,813640
2010-10-28,373.625,378.5062561035156,369.5,371.83123779296875,294.3050231933594,562200
2010-10-29,373.0,374.625,368.3187561035156,371.20001220703125,293.8053894042969,629216
2010-11-01,373.51251220703125,378.125,373.20623779296875,374.33123779296875,296.2838134765625,149032
2010-11-02,375.8687438964844,378.125,372.9437561035156,377.45001220703125,298.75225830078125,328240
2010-11-03,378.625,380.625,376.875,378.0062561035156,299.1926574707031,306520
2010-11-04,380.01251220703125,385.625,379.5,384.5687561035156,304.3868103027344,529016
2010-11-08,385.25,385.25,376.75,377.95623779296875,299.1529541015625,564488
2010-11-09,378.75,383.75,378.75,381.51251220703125,301.9678039550781,412120
2010-11-10,379.75,388.125,379.0,385.36248779296875,305.0150451660156,1352128
2010-11-11,385.66876220703125,385.66876220703125,381.2749938964844,381.89373779296875,302.2695007324219,436856
2010-11-12,379.875,379.875,373.625,374.90625,296.7388916015625,820280
2010-11-15,374.90625,379.5,372.9624938964844,378.03125,299.21234130859375,399288
2010-11-16,377.75,377.75,368.0,371.5375061035156,294.07257080078125,567248
2010-11-18,371.90625,378.375,371.5375061035156,375.51873779296875,297.2237548828125,574632
2010-11-19,374.625,376.0625,368.75,370.8062438964844,293.4937438964844,539984
2010-11-22,372.5,383.7124938964844,371.875,380.26251220703125,300.9783630371094,748312
2010-11-23,378.7124938964844,382.48748779296875,372.4624938964844,376.6625061035156,298.12896728515625,637440
2010-11-24,376.64373779296875,379.375,372.625,375.125,296.9120178222656,631024
2010-11-25,377.17498779296875,388.875,376.375,382.9624938964844,303.115478515625,1976568
2010-11-26,382.6875,388.0,378.125,380.0687561035156,300.8250427246094,822680
